method,sentence_n,sentence_positive_rate,sentence_predicted_positive_rate,sentence_accuracy,sentence_balanced_accuracy,sentence_precision,sentence_recall,sentence_f1,sentence_negative_precision,sentence_negative_recall,sentence_negative_f1,sentence_macro_precision,sentence_macro_recall,sentence_macro_f1,sentence_specificity,sentence_threshold,sentence_roc_auc,sentence_pr_auc,sentence_brier,sentence_ece_10,sentence_tp,sentence_fp,sentence_fn,sentence_tn
always_clean,595.0,0.6,0.0,0.4,0.5,0.0,0.0,0.0,0.4,1.0,0.5714285714285715,0.2,0.5,0.28571428571428575,1.0,0.5,0.5,0.6,0.6,0.6,0.0,0.0,357.0,238.0
always_hallucinated,595.0,0.6,1.0,0.6,0.5,0.6,1.0,0.7499999999999999,0.0,0.0,0.0,0.3,0.5,0.37499999999999994,0.0,0.5,0.5,0.6,0.4,0.4,357.0,238.0,0.0,0.0
random_balanced,595.0,0.6,0.5865546218487395,0.519327731092437,0.5021008403361344,0.6017191977077364,0.5882352941176471,0.594900849858357,0.4024390243902439,0.41596638655462187,0.40909090909090917,0.5020791110489902,0.5021008403361344,0.5019958794746331,0.41596638655462187,0.41503233287380387,0.48089824164960104,0.5920919861272187,0.3426585460147411,0.27185985363989157,210.0,139.0,147.0,99.0
random_prior,595.0,0.6,0.5226890756302521,0.4857142857142857,0.48039215686274506,0.5819935691318328,0.5070028011204482,0.5419161676646705,0.38028169014084506,0.453781512605042,0.41379310344827586,0.4811376296363389,0.48039215686274506,0.47785463555647323,0.453781512605042,0.4468707496601618,0.4815455594002307,0.600532411723371,0.3456947091069075,0.2746674127205874,181.0,130.0,176.0,108.0
keyword_tool_action,595.0,0.6,0.6857142857142857,0.561344537815126,0.5252100840336135,0.6176470588235294,0.7058823529411765,0.6588235294117647,0.4385026737967914,0.3445378151260504,0.38588235294117645,0.5280748663101604,0.5252100840336135,0.5223529411764706,0.3445378151260504,1e-09,0.5813737259609726,0.6796715113450545,0.33123949579831935,0.21201680672268902,252.0,156.0,105.0,82.0
value_checker,595.0,0.6,0.6605042016806723,0.5697478991596638,0.5392156862745098,0.628498727735369,0.6918767507002801,0.6586666666666666,0.45544554455445546,0.3865546218487395,0.4181818181818182,0.5419721361449122,0.5392156862745098,0.5384242424242425,0.3865546218487395,0.720000001,0.5528152437445566,0.626741773031226,0.3002843697478991,0.2426554621848741,247.0,146.0,110.0,92.0
tfidf_logreg,595.0,0.6,0.4756302521008403,0.8016806722689076,0.819327731092437,0.9222614840989399,0.7310924369747899,0.8156249999999999,0.6923076923076923,0.907563025210084,0.7854545454545454,0.8072845882033162,0.819327731092437,0.8005397727272727,0.907563025210084,0.5572228257373617,0.9124591012875738,0.9432525734668842,0.17365890628774389,0.19006165475791834,261.0,22.0,96.0,216.0
lookback_lens_style_proxy,595.0,0.6,0.5697478991596638,0.5495798319327732,0.5371148459383753,0.6312684365781711,0.5994397759103641,0.6149425287356323,0.44140625,0.47478991596638653,0.4574898785425101,0.5363373432890856,0.5371148459383753,0.5362162036390712,0.47478991596638653,0.5059953662072818,0.549790504437069,0.6245115881955716,0.25576254143620697,0.11749584988102564,214.0,125.0,143.0,113.0
attention_lookback_lens_adapted,595.0,0.6,0.5277310924369748,0.5109243697478991,0.5056022408963585,0.6050955414012739,0.5322128851540616,0.5663189269746647,0.40569395017793597,0.4789915966386555,0.4393063583815029,0.5053947457896049,0.5056022408963585,0.5028126426780838,0.4789915966386555,0.5063436397812109,0.5172951533554598,0.6176782106539974,0.25171156147979434,0.10083223582479889,190.0,124.0,167.0,114.0
nli_sentence_verifier,595.0,0.6,0.5899159663865546,0.6100840336134454,0.59593837535014,0.6780626780626781,0.6666666666666666,0.672316384180791,0.5122950819672131,0.5252100840336135,0.5186721991701244,0.5951788800149456,0.59593837535014,0.5954942916754578,0.5252100840336135,0.6489001641736756,0.5980333309794506,0.6487169742443938,0.264389635322586,0.11293734549693449,238.0,113.0,119.0,125.0
lettucedetect_real,595.0,0.6,0.611764705882353,0.5109243697478991,0.4880952380952381,0.5906593406593407,0.6022408963585434,0.5963938973647711,0.3852813852813853,0.3739495798319328,0.3795309168443497,0.487970362970363,0.4880952380952381,0.4879624071045604,0.3739495798319328,0.9868090162740478,0.4851705388037568,0.5885054811567288,0.40790627035208316,0.4021878352686137,215.0,149.0,142.0,89.0
modernbert_token_classifier,595.0,0.6,0.5932773109243697,0.9630252100840336,0.9628851540616247,0.9745042492917847,0.9635854341736695,0.9690140845070423,0.9462809917355371,0.9621848739495799,0.9541666666666666,0.9603926205136609,0.9628851540616247,0.9615903755868545,0.9621848739495799,0.30823039891236326,0.9915024833462797,0.9947768704819286,0.04164779266836086,0.04261410048148024,344.0,9.0,13.0,229.0
hybrid_modernbert_value_checker,595.0,0.6,0.507563025210084,0.907563025210084,0.9229691876750701,1.0,0.84593837535014,0.9165402124430956,0.8122866894197952,1.0,0.8964218455743879,0.9061433447098977,0.9229691876750701,0.9064810290087417,1.0,0.925966224080953,0.9385342372243015,0.9523845626277094,0.24636592276894845,0.27061490876654776,302.0,0.0,55.0,238.0
